ts	cpu	mem	net_io	block_io	pids	fd_count	tcp_inuse	tcp_tw	tcp_alloc	tcp_mem	listen_overflows	listen_drops	tcp_retrans_segs	softirq_net_rx	softirq_net_tx
1775662847	36.22%	227.4MiB / 3.884GiB	2.61GB / 8.36GB	420MB / 0B	11	3	527	0	619	0	0	0	7	64577399	15294
1775662850	38.47%	227MiB / 3.884GiB	2.61GB / 8.37GB	420MB / 0B	11	3	527	0	619	0	0	0	7	64600351	15295
1775662853	38.43%	227MiB / 3.884GiB	2.61GB / 8.37GB	420MB / 0B	11	3	527	0	619	0	0	0	7	64621118	15295
1775662856	40.05%	227.4MiB / 3.884GiB	2.62GB / 8.38GB	420MB / 0B	12	3	527	0	618	0	0	0	7	64642382	15295
1775662859	38.57%	227MiB / 3.884GiB	2.62GB / 8.39GB	420MB / 0B	12	3	527	0	617	0	0	0	7	64663991	15295
1775662862	38.43%	227.1MiB / 3.884GiB	2.62GB / 8.39GB	420MB / 0B	12	3	527	0	619	0	0	0	7	64687503	15295
1775662865	44.43%	227.6MiB / 3.884GiB	2.62GB / 8.4GB	420MB / 0B	11	3	527	0	618	0	0	0	7	64717940	15295
1775662869	42.28%	227.7MiB / 3.884GiB	2.62GB / 8.41GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64746435	15295
1775662873	38.23%	227.2MiB / 3.884GiB	2.63GB / 8.41GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64767706	15295
1775662876	39.36%	227.4MiB / 3.884GiB	2.63GB / 8.42GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64790300	15295
1775662879	39.56%	228MiB / 3.884GiB	2.63GB / 8.43GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64811438	15295
1775662882	39.64%	227.5MiB / 3.884GiB	2.63GB / 8.43GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64833194	15295
1775662885	38.63%	227.2MiB / 3.884GiB	2.63GB / 8.44GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64855186	15295
1775662888	39.41%	227.7MiB / 3.884GiB	2.64GB / 8.44GB	420MB / 0B	12	3	527	0	617	0	0	0	7	64876632	15295
1775662891	38.50%	227.5MiB / 3.884GiB	2.64GB / 8.45GB	420MB / 0B	12	3	527	0	617	0	0	0	7	64899083	15295
1775662894	39.57%	227.3MiB / 3.884GiB	2.64GB / 8.46GB	420MB / 0B	12	3	527	0	617	0	0	0	7	64919866	15295
1775662897	38.07%	227.1MiB / 3.884GiB	2.64GB / 8.46GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64941598	15295
1775662900	38.23%	227.7MiB / 3.884GiB	2.64GB / 8.47GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64963473	15295
1775662903	37.93%	227.5MiB / 3.884GiB	2.65GB / 8.47GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64985035	15295
1775662906	38.68%	227.8MiB / 3.884GiB	2.65GB / 8.48GB	420MB / 0B	11	3	527	0	617	0	0	0	7	65007206	15295
1775662909	38.79%	227.4MiB / 3.884GiB	2.65GB / 8.49GB	420MB / 0B	11	3	527	0	617	0	0	0	7	65028731	15295
1775662912	39.51%	227.7MiB / 3.884GiB	2.65GB / 8.49GB	420MB / 0B	11	3	527	0	617	0	0	0	7	65050713	15295
1775662915	37.27%	227.8MiB / 3.884GiB	2.65GB / 8.5GB	420MB / 0B	11	3	527	0	617	0	0	0	7	65072697	15295
1775662918	36.54%	227.9MiB / 3.884GiB	2.66GB / 8.51GB	420MB / 0B	12	3	527	0	617	0	0	0	7	65094314	15295
1775662921	53.35%	229.5MiB / 3.884GiB	2.66GB / 8.51GB	420MB / 0B	12	3	527	0	617	0	0	0	7	65117998	15296
1775662924	48.37%	227.4MiB / 3.884GiB	2.66GB / 8.52GB	420MB / 0B	12	3	527	0	617	0	0	0	7	65140876	15296
1775662927	37.56%	227MiB / 3.884GiB	2.66GB / 8.53GB	420MB / 0B	11	3	527	0	618	0	0	0	7	65172953	15300
1775662932	38.57%	230.6MiB / 3.884GiB	2.66GB / 8.53GB	423MB / 0B	11	3	527	0	616	0	0	0	7	65199314	15300
